Date,Time (UTC),Version,Type,Component,Description
2026-04-21,09:10,0.1.0,chore,scaffold,"Project bootstrap: src/ layout, pyproject.toml, .gitignore, MIT license, requirements.txt"
2026-04-21,09:18,0.1.0,feat,storage,"Add JsonStore: thread-safe JSON persistence with atomic write (tempfile + rename), update() callback, corruption recovery"
2026-04-21,09:24,0.1.0,feat,registry,"Add AgentRegistry: lazy factory-based registration so agents can be enabled/disabled via settings"
2026-04-21,09:31,0.1.0,feat,server,"Build core MCP server using FastMCP; expose server_info, ping, server://agents resource, getting_started prompt"
2026-04-21,09:42,0.1.0,feat,agents/task,"TaskAgent: add/list/complete/update/delete/stats with priority + due-date validation and overdue detection"
2026-04-21,09:48,0.1.0,feat,agents/notes,"NotesAgent: create/list/search/get/update/delete + tag normalisation + tag-frequency aggregation"
2026-04-21,09:54,0.1.0,feat,agents/weather,"WeatherAgent: deterministic mock forecast keyed on (city, date); current/forecast/compare/history tools; outfit prompt"
2026-04-21,10:01,0.1.0,feat,agents/finance,"FinanceAgent: expenses, monthly budgets, per-category summary with pct_used / remaining"
2026-04-21,10:07,0.1.0,feat,agents/file,"FileAgent: directory scan/summary/search with extension→category mapping; read-only by design"
2026-04-21,10:13,0.1.0,feat,agents/kb,"KnowledgeBaseAgent: Q&A entries with word-overlap retrieval scoring; kb_answer_prompt template"
2026-04-21,10:25,0.1.0,test,tests,"Add 57 pytest cases: server wiring, registry, storage, and per-agent happy + edge cases"
2026-04-21,10:31,0.1.0,fix,agents/weather,"Bug: temp_f computed from unrounded base_c caused 0.1°F drift when round-tripping C↔F. Now derives from rounded temp_c."
2026-04-21,10:38,0.1.0,docs,docs,"Write README, ARCHITECTURE.md, LEARNING_GUIDE.md, ADD_AGENT.md"
2026-04-21,10:42,0.1.0,feat,examples,"Add examples/client_demo.py: stdio MCP client demonstrating tool discovery + a few sample calls"
2026-04-21,10:46,0.1.0,docs,changelog,"Initialise CHANGELOG.md and CHANGELOG.csv (importable to Google Sheets)"
